Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02243025


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2243025;2;01/04/1969;1;43,2;117,2;3;10;1;1;0;1112;1;0,0;0,0;43,2;42,2;0,0;3,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;11,2;0,0;0,0;0,0;0,0;0,0;0,0;4,8;1,0;1,4;3,2;0,0;0,0;0,0;0,0;;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2243025;2;01/03/1969;1;46,6;231,8;27;14;1;1;0;1112;1;11,2;5,4;7,6;0,0;23,4;0,0;0,0;0,0;0,0;23,6;21,0;22,2;1,4;7,6;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;46,6;11,6;44,6;1,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243025;2;01/02/1969;1;29,8;68,0;20;7;1;1;0;1112;1;0,0;0,0;9,8;6,6;4,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;29,8;13,6;0,0;3,6;0,2;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
2243025;2;01/01/1969;1;40,4;169,2;25;14;1;1;0;1112;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,4;0,0;22,4;7,0;6,6;0,0;0,0;0,8;1,6;0,0;6,4;0,0;0,0;1,6;12,0;26,4;40,4;7,8;3,8;17,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243025;2;01/12/1968;1;63,8;151,6;2;12;1;1;0;1015,90002441406;1;2,8;63,8;21,0;10,4;0,6;0,0;0,0;0,0;10,2;2,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,4;0,0;7,6;15,0;0,4;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243025;2;01/11/1968;1;19,8;47,2;18;7;1;1;0;1015,90002441406;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,8;1,0;0,0;0,0;0,0;0,0;19,8;17,0;2,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;3,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2243025;2;01/10/1968;1;16,4;53,0;12;10;1;1;0;1015,90002441406;1;8,4;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,4;3,8;16,4;0,0;1,6;0,2;0,0;0,0;0,2;3,8;0,0;0,0;5,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243025;2;01/09/1968;1;23,2;51,8;4;7;1;1;0;1015,90002441406;1;1,8;0,0;0,8;23,2;10,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2243025;2;01/08/1968;1;19,0;54,4;6;7;1;1;0;1015,90002441406;1;0,0;0,0;0,0;0,0;3,2;19,0;0,0;0,0;8,2;5,0;0,0;10,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243025;2;01/07/1968;1;43,4;118,2;26;6;1;1;0;1015,90002441406;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,2;0,0;0,0;0,0;43,4;36,0;13,2;0,6;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
